#PRODUCTID;SKU;TITLE;QUANTITY;PURCHASE_PRICE;VENDOR;SERIAL;PURCHASE_DATE;MERCI_STATUS
167;"BAA000004";"Balance, Tl, Acculab" size;"1";"0.00";"";"";"";"lost" 
168;"BAA000005";"Balance, Tl, Acculab" size;"1";"0.00";"";"";"";"lost" 
169;"BAA000006";"Balance, Tl, Acculab" size;"1";"0.00";"";"";"";"lost" 
170;"BAA000007";"Balance, Tl, Acculab" size;"1";"0.00";"";"";"";"lost" 
171;"BAA000008";"Balance, Tl, Acculab" size;"1";"0.00";"";"";"";"none" 
172;"BAA000009";"Balance, Tl, Acculab" size;"1";"0.00";"";"";"";"lost" 
173;"BAA000010";"Balance, Tl, Acculab" size;"1";"0.00";"";"";"";"lost" 
174;"BAA100MG1";"Balance, 100g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"lost" 
175;"BAA100MG2";"Balance, 100g, 0.01g Step, Acculab V-200" size;"1";"0.00";"";"";"";"available" 
176;"BAA100MG3";"Balance, 100g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
177;"BAA100MG4";"Balance, 100g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
178;"BAA100MG5";"Balance, 100g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"lost" 
179;"BAA100MG6";"Balance, 100g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"lost" 
180;"BAA100MG7";"Balance, 100g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"lost" 
181;"BAA100MG8";"Balance, 100g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"retired" 
182;"BAA10KG01";"Balance, 10kg, 1g Step, Acculab" size;"1";"0.00";"";"";"";"lost" 
183;"BAA10KG02";"Balance, 10kg, 1g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
184;"BAA10KG03";"Balance, 10kg, 1g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
185;"BAA10KG04";"Balance, 10kg, 1g Step, Acculab" size;"1";"0.00";"";"";"";"none" 
186;"BAA10KG05";"Balance, 10kg, 1g Step, Acculab" size;"1";"0.00";"";"";"";"lost" 
187;"BAA10KG06";"Balance, 10kg, 1g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
188;"BAA10KG07";"Balance, 10kg, 1g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
189;"BAA200M01";"Balance, 200g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
190;"BAA200M02";"Balance, 200g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"lost" 
191;"BAA200M03";"Balance, 200g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
192;"BAA210G01";"Ec211 210g X 0.1g Balance" size;"1";"0.00";"";"";"";"lost" 
193;"BAA350G10";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
194;"BAA350G11";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
195;"BAA350G12";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"lost" 
196;"BAA350G13";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
197;"BAA350G14";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"lost" 
198;"BAA350G15";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
199;"BAA350G16";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
200;"BAA350G17";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
201;"BAA350G18";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"lost" 
202;"BAA350G19";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
203;"BAA350G20";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"lost" 
204;"BAA350G21";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"lost" 
205;"BAA350G22";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
206;"BAA350G23";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
207;"BAA350G24";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"lost" 
208;"BAA350G25";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
209;"BAA350G26";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
210;"BAA350M01";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"none" 
211;"BAA350M02";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
212;"BAA350M03";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
213;"BAA350M04";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"lost" 
214;"BAA350M05";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
215;"BAA350M06";"Balance, 350g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
216;"BAA410G01";"Balance, 410g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
217;"BAA410G02";"Balance, 410g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"none" 
218;"BAA410G03";"Balance, 410g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
219;"BAA410G04";"Balance, 410g, 0.01g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
220;"BAA480010";"Balance, 4800g, 0.1g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
221;"BAA480011";"Balance, 4800g, 0.1g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
222;"BAA480012";"Balance, 4800g, 0.1g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
223;"BAA480013";"Balance, 4800g, 0.1g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
224;"BAA480014";"Balance, 4800g, 0.1g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
225;"BAA4800G1";"Balance, 4800g, 0.1g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
226;"BAA4800G2";"Balance, 4800g, 0.1g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
227;"BAA4800G3";"Balance, 4800g, 0.1g Step, Acculab" size;"1";"0.00";"";"";"";"lost" 
228;"BAA4800G4";"Balance, 4800g, 0.1g Step, Acculab" size;"1";"0.00";"";"";"";"lost" 
229;"BAA4800G5";"Balance, 4800g, 0.1g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
230;"BAA4800G6";"Balance, 4800g, 0.1g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
231;"BAA4800G7";"Balance, 4800g, 0.1g Step, Acculab" size;"1";"0.00";"";"";"";"lost" 
232;"BAA4800G8";"Balance, 4800g, 0.1g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
233;"BAA4800G9";"Balance, 4800g, 0.1g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
234;"BAA4KG001";"Balance, 4800g, 0.1g Step, Acculab" size;"1";"0.00";"";"";"";"surplus" 
235;"BAA4KG002";"Balance, 4800g, 0.1g Step, Acculab" size;"1";"0.00";"";"";"";"none" 
236;"BAA610G01";"Balance, 610g, 0.01g Step, Vic612, Acculab" size;"1";"0.00";"";"";"";"none" 
237;"BAA610G02";"Balance, 610g, 0.01g Step, Vic612, Acculab" size;"1";"0.00";"";"";"";"surplus" 
238;"BAA610G03";"Balance, 610g, 0.01g Step, Vic612, Acculab" size;"1";"0.00";"";"";"";"available" 
239;"BAA610G04";"Balance, 610g, 0.01g Step, Vic612, Acculab" size;"1";"0.00";"";"";"";"available" 
240;"BAA610G05";"Balance, 610g, 0.01g Step, Vic612, Acculab" size;"1";"0.00";"";"";"";"available" 
241;"BAA610G06";"Balance, 610g, 0.01g Step, Vic612, Acculab" size;"1";"0.00";"";"";"";"available" 
242;"BAA610G07";"Balance, 610g, 0.01g Step, Sartorius Ay612" size;"1";"0.00";"";"";"";"available" 
